name,market,trade_id,entry_date,entry_price,exit_date,exit_price,holding_days,pnl,pnl_pct,result
恒瑞医药,A股,1,2025-08-18,63.2,2025-09-18,70.36,23,7.16,11.33,盈利
恒瑞医药,A股,2,2025-09-23,70.8,2025-10-13,65.8,8,-5.0,-7.06,亏损
恒瑞医药,A股,3,2025-12-02,61.7,2025-12-18,59.85,12,-1.85,-3.0,亏损
恒瑞医药,A股,4,2026-01-07,62.81,2026-01-21,60.31,10,-2.5,-3.98,亏损
恒瑞医药,A股,5,2026-02-12,58.4,2026-03-02,55.38,6,-3.02,-5.17,亏损
恒瑞医药,A股,6,2026-03-17,55.49,2026-03-25,53.8,6,-1.69,-3.05,亏损
恒瑞医药,A股,7,2026-04-02,57.54,2026-04-23,55.83,14,-1.71,-2.97,亏损
恒瑞医药,A股,8,2026-05-18,53.58,2026-05-20,51.31,2,-2.27,-4.24,亏损
恒瑞医药,A股,9,2026-06-22,48.2,2026-07-10,55.75,14,7.55,15.66,未平仓
恒瑞医药,港股,1,2025-08-19,83.572,2025-08-26,78.272,5,-5.3,-6.34,亏损
恒瑞医药,港股,2,2025-09-04,86.072,2025-10-14,83.922,26,-2.15,-2.5,亏损
恒瑞医药,港股,3,2025-12-01,73.622,2025-12-17,70.622,12,-3.0,-4.07,亏损
恒瑞医药,港股,4,2026-01-06,75.422,2026-01-22,74.172,12,-1.25,-1.66,亏损
恒瑞医药,港股,5,2026-02-13,70.422,2026-02-27,65.772,7,-4.65,-6.6,亏损
恒瑞医药,港股,6,2026-03-16,64.272,2026-03-25,63.722,7,-0.55,-0.86,亏损
恒瑞医药,港股,7,2026-04-02,66.772,2026-05-04,65.0,18,-1.772,-2.65,亏损
恒瑞医药,港股,8,2026-05-14,69.55,2026-05-20,61.95,4,-7.6,-10.93,亏损
恒瑞医药,港股,9,2026-06-24,56.1,2026-07-10,59.25,11,3.15,5.61,未平仓
百济神州,A股,1,2025-08-21,241.5,2025-09-22,307.1,22,65.6,27.16,盈利
百济神州,A股,2,2025-10-30,286.48,2025-11-06,272.7,5,-13.78,-4.81,亏损
百济神州,A股,3,2025-11-14,296.02,2025-11-25,278.0,7,-18.02,-6.09,亏损
百济神州,A股,4,2025-12-26,271.93,2026-01-05,269.0,4,-2.93,-1.08,亏损
百济神州,A股,5,2026-01-06,301.0,2026-01-22,295.0,12,-6.0,-1.99,亏损
百济神州,A股,6,2026-02-13,282.16,2026-02-27,258.33,4,-23.83,-8.45,亏损
百济神州,A股,7,2026-04-02,249.8,2026-04-24,233.01,15,-16.79,-6.72,亏损
百济神州,A股,8,2026-05-11,247.5,2026-05-21,247.0,8,-0.5,-0.2,亏损
百济神州,A股,9,2026-06-24,230.0,2026-07-10,267.84,12,37.84,16.45,未平仓
百济神州,港股,1,2025-08-19,193.7,2025-09-01,186.6,9,-7.1,-3.67,亏损
百济神州,港股,2,2025-09-03,201.2,2025-09-18,198.8,11,-2.4,-1.19,亏损
百济神州,港股,3,2025-10-03,208.0,2025-10-15,190.0,7,-18.0,-8.65,亏损
百济神州,港股,4,2025-11-10,187.6,2025-11-28,204.2,14,16.6,8.85,盈利
百济神州,港股,5,2026-01-07,193.5,2026-03-02,188.0,35,-5.5,-2.84,亏损
百济神州,港股,6,2026-04-02,185.1,2026-04-27,181.2,14,-3.9,-2.11,亏损
百济神州,港股,7,2026-05-12,188.5,2026-05-20,178.2,6,-10.3,-5.46,亏损
百济神州,港股,8,2026-06-25,167.0,2026-07-10,183.5,10,16.5,9.88,未平仓
百济神州,美股,1,2025-08-18,321.36,2025-08-29,310.72,9,-10.64,-3.31,亏损
百济神州,美股,2,2025-09-04,323.49,2025-09-26,326.05,16,2.56,0.79,盈利
百济神州,美股,3,2025-10-01,340.73,2025-10-14,315.0,9,-25.73,-7.55,亏损
百济神州,美股,4,2025-11-07,315.53,2025-11-26,343.95,13,28.42,9.01,盈利
百济神州,美股,5,2026-01-07,331.76,2026-03-02,305.5,36,-26.26,-7.92,亏损
百济神州,美股,6,2026-04-01,303.92,2026-04-27,298.65,17,-5.27,-1.73,亏损
百济神州,美股,7,2026-05-11,317.2,2026-05-20,301.64,7,-15.56,-4.91,亏损
百济神州,美股,8,2026-06-25,277.71,2026-07-10,298.7,10,20.99,7.56,未平仓
信达生物,港股,1,2025-08-19,101.9,2025-09-01,98.65,9,-3.25,-3.19,亏损
