name,market,date,open,high,low,close,volume,amount,currency
百济神州,A股,2025-07-01,233.65,242.89,233.0,242.16,3576406.0,849830000.0,CNY
百济神州,A股,2025-07-02,241.24,242.49,231.2,231.62,2761528.0,646970000.0,CNY
百济神州,A股,2025-07-03,232.45,235.6,229.42,232.89,3020527.0,701840000.0,CNY
百济神州,A股,2025-07-04,231.03,233.9,228.03,229.64,2353690.0,541320000.0,CNY
百济神州,A股,2025-07-07,229.99,230.0,223.09,223.35,2533698.0,569650000.0,CNY
百济神州,A股,2025-07-08,223.39,227.38,222.22,223.15,2656974.0,595290000.0,CNY
百济神州,A股,2025-07-09,223.0,229.22,220.01,226.46,3089930.0,696200000.0,CNY
百济神州,A股,2025-07-10,228.83,230.37,226.22,227.33,2421064.0,552820000.0,CNY
百济神州,A股,2025-07-11,227.45,231.49,225.28,229.9,2905519.0,666240000.0,CNY
百济神州,A股,2025-07-14,228.01,231.18,222.22,225.94,2784985.0,626840000.0,CNY
百济神州,A股,2025-07-15,226.23,242.75,225.45,241.3,4902128.0,1155900000.0,CNY
百济神州,A股,2025-07-16,237.8,246.28,237.79,239.94,2077279.0,501410000.0,CNY
百济神州,A股,2025-07-17,243.5,251.88,241.7,250.85,3644646.0,902450000.0,CNY
百济神州,A股,2025-07-18,247.84,251.62,246.34,249.76,2019158.0,502350000.0,CNY
百济神州,A股,2025-07-21,248.0,248.39,235.1,236.45,3550239.0,848450000.0,CNY
百济神州,A股,2025-07-22,235.2,242.86,235.2,236.72,2694094.0,644350000.0,CNY
百济神州,A股,2025-07-23,237.6,241.82,236.98,238.13,2061488.0,492620000.0,CNY
百济神州,A股,2025-07-24,237.89,239.77,235.61,237.68,2187718.0,519680000.0,CNY
百济神州,A股,2025-07-25,238.08,241.55,234.0,234.87,2364308.0,559470000.0,CNY
百济神州,A股,2025-07-28,235.69,242.18,235.0,241.42,2781201.0,665080000.0,CNY
百济神州,A股,2025-07-29,241.0,247.7,237.0,245.78,2740500.0,668180000.0,CNY
百济神州,A股,2025-07-30,246.0,249.69,240.58,242.0,2243506.0,550440000.0,CNY
百济神州,A股,2025-07-31,241.49,244.97,237.11,238.24,2175425.0,523540000.0,CNY
百济神州,A股,2025-08-01,237.8,239.85,234.66,237.88,2646800.0,628140000.0,CNY
百济神州,A股,2025-08-04,238.0,244.45,234.24,243.51,2485919.0,595890000.0,CNY
百济神州,A股,2025-08-05,243.5,253.3,242.89,249.46,2835726.0,706370000.0,CNY
百济神州,A股,2025-08-06,250.3,250.3,243.6,245.54,1991925.0,489240000.0,CNY
百济神州,A股,2025-08-07,248.0,250.99,234.2,235.66,4829224.0,1160620000.0,CNY
百济神州,A股,2025-08-08,234.0,235.2,223.3,224.63,5388098.0,1215690000.0,CNY
百济神州,A股,2025-08-11,225.0,231.32,224.95,228.98,2534607.0,578990000.0,CNY
百济神州,A股,2025-08-12,228.89,232.0,224.53,229.92,2944075.0,669230000.0,CNY
百济神州,A股,2025-08-13,230.0,236.36,228.1,233.79,3634937.0,846080000.0,CNY
百济神州,A股,2025-08-14,237.0,239.65,233.5,234.06,3418406.0,809030000.0,CNY
百济神州,A股,2025-08-15,234.1,241.96,231.5,241.19,4540079.0,1081330000.0,CNY
百济神州,A股,2025-08-18,242.42,246.95,239.33,243.0,3726488.0,901380000.0,CNY
百济神州,A股,2025-08-19,242.47,245.95,234.6,234.7,3952354.0,945030000.0,CNY
百济神州,A股,2025-08-20,233.88,237.88,232.89,237.5,2323688.0,547240000.0,CNY
百济神州,A股,2025-08-21,241.5,248.77,240.12,243.25,4053626.0,992590000.0,CNY
百济神州,A股,2025-08-22,245.17,247.34,240.5,247.25,3429052.0,836020000.0,CNY
百济神州,A股,2025-08-25,247.0,257.5,246.5,254.99,4531212.0,1148080000.0,CNY
百济神州,A股,2025-08-26,257.0,261.76,250.18,250.51,3772835.0,960150000.0,CNY
百济神州,A股,2025-08-27,251.02,254.9,246.01,246.01,3527380.0,883420000.0,CNY
百济神州,A股,2025-08-28,245.0,247.0,238.21,247.0,3545716.0,863330000.0,CNY
百济神州,A股,2025-08-29,247.02,286.28,247.02,278.0,9004370.0,2415990000.0,CNY
百济神州,A股,2025-09-01,289.99,310.3,287.0,300.0,11803229.0,3529120000.0,CNY
百济神州,A股,2025-09-02,299.85,346.0,298.0,324.85,13711337.0,4430240000.0,CNY
百济神州,A股,2025-09-03,319.93,330.0,311.2,326.08,9456319.0,3048430000.0,CNY
百济神州,A股,2025-09-04,336.2,337.99,298.88,308.1,10550777.0,3314650000.0,CNY
百济神州,A股,2025-09-05,303.05,320.0,293.11,319.8,8708276.0,2685570000.0,CNY
