name,market,date,open,high,low,close,volume,MA5,MA15,ma_signal,trade_signal,position,note
百济神州,港股,2025-07-02,150.2,152.3,144.1,145.0,7752819.0,,,,HOLD,空仓,
百济神州,港股,2025-07-03,146.8,151.1,145.5,149.3,6849510.0,,,,HOLD,空仓,
百济神州,港股,2025-07-04,149.3,151.0,145.3,148.5,4125201.0,,,,HOLD,空仓,
百济神州,港股,2025-07-07,148.3,149.3,145.6,146.2,2823713.0,,,,HOLD,空仓,
百济神州,港股,2025-07-08,146.8,148.9,146.0,147.2,4481537.0,147.24,,,HOLD,空仓,
百济神州,港股,2025-07-09,146.8,153.3,145.5,150.4,5479621.0,148.32,,,HOLD,空仓,
百济神州,港股,2025-07-10,153.8,155.9,152.0,152.8,4827862.0,149.02,,,HOLD,空仓,
百济神州,港股,2025-07-11,152.5,156.8,152.0,154.1,4981212.0,150.14,,,HOLD,空仓,
百济神州,港股,2025-07-14,150.5,153.1,148.4,152.5,4870696.0,151.4,,,HOLD,空仓,
百济神州,港股,2025-07-15,153.9,164.4,152.1,164.4,7775719.0,154.84,,,HOLD,空仓,
百济神州,港股,2025-07-16,164.0,168.2,162.3,165.7,4971049.0,157.9,,,HOLD,空仓,
百济神州,港股,2025-07-17,170.4,185.0,167.1,183.3,11510592.0,164.0,,,HOLD,空仓,
百济神州,港股,2025-07-18,179.0,182.9,176.0,182.7,10527114.0,169.72,,,HOLD,空仓,
百济神州,港股,2025-07-21,179.5,179.5,172.9,175.6,8713416.0,174.34,,,HOLD,空仓,
百济神州,港股,2025-07-22,175.6,181.7,174.7,176.2,6150034.0,176.7,159.5933,,HOLD,空仓,
百济神州,港股,2025-07-23,179.9,183.4,176.9,180.9,5231633.0,179.74,161.9867,,HOLD,空仓,
百济神州,港股,2025-07-24,180.8,180.8,175.9,179.0,5640442.0,178.88,163.9667,,HOLD,空仓,
百济神州,港股,2025-07-25,178.9,180.2,174.0,176.2,4194962.0,177.58,165.8133,,HOLD,空仓,
百济神州,港股,2025-07-28,177.8,182.3,175.5,181.4,4744951.0,178.74,168.16,,HOLD,空仓,
百济神州,港股,2025-07-29,180.0,188.8,178.0,185.9,9090808.0,180.68,170.74,,HOLD,空仓,
百济神州,港股,2025-07-30,184.9,190.4,179.4,182.4,8008868.0,180.98,172.8733,,HOLD,空仓,
百济神州,港股,2025-07-31,182.0,184.2,178.8,181.4,5884957.0,181.46,174.78,,HOLD,空仓,
百济神州,港股,2025-08-01,177.1,182.5,175.1,177.0,5655868.0,181.62,176.3067,,HOLD,空仓,
百济神州,港股,2025-08-04,179.0,184.1,174.6,182.6,5367773.0,181.86,178.3133,,HOLD,空仓,
百济神州,港股,2025-08-05,183.1,190.8,182.7,186.3,8601241.0,181.94,179.7733,,HOLD,空仓,
百济神州,港股,2025-08-06,186.8,187.5,180.0,182.7,5564481.0,182.0,180.9067,,HOLD,空仓,
百济神州,港股,2025-08-07,184.4,186.1,176.2,182.5,9131759.0,182.22,180.8533,,HOLD,空仓,
百济神州,港股,2025-08-08,178.5,180.0,169.2,171.3,9526521.0,181.08,180.0933,,HOLD,空仓,
百济神州,港股,2025-08-11,174.5,175.6,172.9,174.7,3902004.0,179.5,180.0333,死叉,HOLD,空仓,
百济神州,港股,2025-08-12,174.2,174.5,170.4,171.8,3809010.0,176.6,179.74,,HOLD,空仓,
百济神州,港股,2025-08-13,173.1,180.6,173.1,179.8,4432478.0,176.02,179.6667,,HOLD,空仓,
百济神州,港股,2025-08-14,185.8,188.8,184.0,185.0,4989978.0,176.52,180.0667,,HOLD,空仓,
百济神州,港股,2025-08-15,186.7,191.8,186.7,191.5,5622548.0,180.56,181.0867,,HOLD,空仓,
百济神州,港股,2025-08-18,193.7,196.9,191.0,193.7,4112212.0,184.36,181.9067,金叉,BUY,持仓,→ 次日(2025-08-19)开盘买入 @ 193.7
百济神州,港股,2025-08-19,193.7,195.1,188.2,190.1,7213285.0,188.02,182.1867,,HOLD,持仓,
百济神州,港股,2025-08-20,188.7,189.6,183.0,184.3,5885987.0,188.92,182.3133,,HOLD,持仓,
百济神州,港股,2025-08-21,187.5,189.7,185.0,187.5,4568648.0,189.42,182.72,,HOLD,持仓,
