name,market,date,open,high,low,close,volume,MA5,MA15,ma_signal,trade_signal,position,note
恒瑞医药,A股,2025-07-01,51.69,52.54,51.6,52.26,397725.0,,,,HOLD,空仓,
恒瑞医药,A股,2025-07-02,52.2,53.24,51.9,52.05,325712.0,,,,HOLD,空仓,
恒瑞医药,A股,2025-07-03,52.06,52.38,51.61,52.27,293678.0,,,,HOLD,空仓,
恒瑞医药,A股,2025-07-04,52.41,53.59,52.4,53.06,477923.0,,,,HOLD,空仓,
恒瑞医药,A股,2025-07-07,53.18,53.39,52.36,52.45,286388.0,52.418,,,HOLD,空仓,
恒瑞医药,A股,2025-07-08,52.49,53.49,52.3,53.2,359263.0,52.606,,,HOLD,空仓,
恒瑞医药,A股,2025-07-09,53.2,57.74,52.82,56.99,1158212.0,53.594,,,HOLD,空仓,
恒瑞医药,A股,2025-07-10,56.93,58.08,56.41,57.4,903716.0,54.62,,,HOLD,空仓,
恒瑞医药,A股,2025-07-11,57.31,57.92,56.68,56.7,658632.0,55.348,,,HOLD,空仓,
恒瑞医药,A股,2025-07-14,56.55,57.85,56.36,57.01,473758.0,56.26,,,HOLD,空仓,
恒瑞医药,A股,2025-07-15,57.05,57.33,56.32,57.02,436928.0,57.024,,,HOLD,空仓,
恒瑞医药,A股,2025-07-16,57.45,58.7,56.84,57.02,398191.0,57.03,,,HOLD,空仓,
恒瑞医药,A股,2025-07-17,56.7,57.7,56.64,57.53,444146.0,57.056,,,HOLD,空仓,
恒瑞医药,A股,2025-07-18,58.01,59.66,57.7,58.56,660986.0,57.428,,,HOLD,空仓,
恒瑞医药,A股,2025-07-21,58.3,58.6,57.48,57.8,509442.0,57.586,55.4213,,HOLD,空仓,
恒瑞医药,A股,2025-07-22,57.8,58.65,57.0,57.21,475570.0,57.624,55.7513,,HOLD,空仓,
恒瑞医药,A股,2025-07-23,57.0,57.88,56.67,56.93,425295.0,57.606,56.0767,,HOLD,空仓,
恒瑞医药,A股,2025-07-24,57.24,57.78,56.75,57.3,465834.0,57.56,56.412,,HOLD,空仓,
恒瑞医药,A股,2025-07-25,57.3,57.35,56.15,56.2,505394.0,57.088,56.6213,,HOLD,空仓,
恒瑞医药,A股,2025-07-28,59.9,61.84,59.46,61.84,1630096.0,57.896,57.2473,,HOLD,空仓,
恒瑞医药,A股,2025-07-29,62.8,65.23,61.93,63.6,1682769.0,59.174,57.9407,,HOLD,空仓,
恒瑞医药,A股,2025-07-30,63.61,64.53,62.45,63.39,980849.0,60.466,58.3673,,HOLD,空仓,
恒瑞医药,A股,2025-07-31,63.2,64.05,62.3,62.7,742039.0,61.546,58.7207,,HOLD,空仓,
恒瑞医药,A股,2025-08-01,62.63,63.38,60.56,61.11,734655.0,62.528,59.0147,,HOLD,空仓,
恒瑞医药,A股,2025-08-04,60.4,61.85,59.8,61.8,689613.0,62.52,59.334,,HOLD,空仓,
恒瑞医药,A股,2025-08-05,61.91,62.26,61.36,62.1,541443.0,62.22,59.6727,,HOLD,空仓,
恒瑞医药,A股,2025-08-06,61.99,62.35,61.18,61.38,572479.0,61.818,59.9633,,HOLD,空仓,
恒瑞医药,A股,2025-08-07,61.05,61.9,60.5,60.61,504764.0,61.4,60.1687,,HOLD,空仓,
恒瑞医药,A股,2025-08-08,60.5,60.93,59.8,60.79,362971.0,61.336,60.3173,,HOLD,空仓,
恒瑞医药,A股,2025-08-11,60.79,61.22,60.48,60.87,425752.0,61.15,60.522,,HOLD,空仓,
恒瑞医药,A股,2025-08-12,61.12,61.25,60.06,60.65,391835.0,60.86,60.7513,,HOLD,空仓,
恒瑞医药,A股,2025-08-13,60.65,63.31,60.65,62.41,815296.0,61.066,61.1167,死叉,HOLD,空仓,
恒瑞医药,A股,2025-08-14,62.65,63.4,62.16,62.62,571266.0,61.468,61.4713,,HOLD,空仓,
恒瑞医药,A股,2025-08-15,62.44,64.07,62.26,63.2,614933.0,61.95,61.938,金叉,BUY,持仓,→ 次日(2025-08-18)开盘买入 @ 63.2
恒瑞医药,A股,2025-08-18,63.2,63.75,62.61,62.88,728858.0,62.352,62.0073,,HOLD,持仓,
恒瑞医药,A股,2025-08-19,63.2,65.2,61.43,61.49,997700.0,62.52,61.8667,,HOLD,持仓,
恒瑞医药,A股,2025-08-20,61.46,62.77,60.91,62.65,650424.0,62.568,61.8173,,HOLD,持仓,
恒瑞医药,A股,2025-08-21,63.78,65.13,62.75,63.79,858629.0,62.802,61.89,,HOLD,持仓,
恒瑞医药,A股,2025-08-22,64.51,65.0,63.63,64.78,637719.0,63.118,62.1347,,HOLD,持仓,
恒瑞医药,A股,2025-08-25,64.78,66.2,64.17,66.06,849234.0,63.754,62.4187,,HOLD,持仓,
恒瑞医药,A股,2025-08-26,66.0,66.0,64.8,65.1,575129.0,64.476,62.6187,,HOLD,持仓,
恒瑞医药,A股,2025-08-27,64.81,65.51,62.84,62.85,836169.0,64.516,62.7167,,HOLD,持仓,
恒瑞医药,A股,2025-08-28,62.75,63.02,61.21,62.83,715902.0,64.324,62.8647,,HOLD,持仓,
恒瑞医药,A股,2025-08-29,62.83,66.67,62.83,66.03,1023186.0,64.574,63.214,,HOLD,持仓,
恒瑞医药,A股,2025-09-01,66.2,68.68,65.72,68.15,872181.0,64.992,63.6993,,HOLD,持仓,
恒瑞医药,A股,2025-09-02,69.6,70.57,67.6,68.67,1084490.0,65.706,64.234,,HOLD,持仓,
恒瑞医药,A股,2025-09-03,68.6,73.22,68.6,71.78,1129369.0,67.492,64.8587,,HOLD,持仓,
恒瑞医药,A股,2025-09-04,71.07,71.38,67.3,68.45,1102894.0,68.616,65.2473,,HOLD,持仓,
恒瑞医药,A股,2025-09-05,68.8,72.78,68.8,72.27,936479.0,69.864,65.852,,HOLD,持仓,
恒瑞医药,A股,2025-09-08,72.8,73.67,71.44,72.11,748209.0,70.656,66.4673,,HOLD,持仓,
恒瑞医药,A股,2025-09-09,71.97,73.84,70.28,70.89,767670.0,71.1,67.094,,HOLD,持仓,
恒瑞医药,A股,2025-09-10,70.64,71.57,69.88,70.12,468204.0,70.768,67.592,,HOLD,持仓,
恒瑞医药,A股,2025-09-11,66.38,68.27,63.8,68.09,1942359.0,70.696,67.8787,,HOLD,持仓,
恒瑞医药,A股,2025-09-12,68.08,69.31,67.66,68.81,831215.0,70.004,68.1473,,HOLD,持仓,
恒瑞医药,A股,2025-09-15,68.65,69.49,68.06,68.9,611882.0,69.362,68.3367,,HOLD,持仓,
恒瑞医药,A股,2025-09-16,68.9,69.14,68.14,68.95,434582.0,68.974,68.5933,,HOLD,持仓,
恒瑞医药,A股,2025-09-17,69.1,70.6,69.1,69.93,586034.0,68.936,69.0653,死叉,SELL,空仓,→ 次日(2025-09-18)开盘卖出 @ 70.36 (盈亏: 11.33%)
恒瑞医药,A股,2025-09-18,70.36,72.92,69.7,70.89,865639.0,69.496,69.6027,,HOLD,空仓,
恒瑞医药,A股,2025-09-19,70.9,71.04,69.29,69.45,524392.0,69.624,69.8307,,HOLD,空仓,
恒瑞医药,A股,2025-09-22,70.29,72.5,70.2,70.85,576542.0,70.014,70.0107,金叉,BUY,持仓,→ 次日(2025-09-23)开盘买入 @ 70.8
