name,market,date,open,high,low,close,volume,MA5,MA15,ma_signal,trade_signal,position,note
信达生物,港股,2025-07-02,80.0,82.35,78.0,79.3,29389722.0,,,,HOLD,空仓,
信达生物,港股,2025-07-03,79.0,86.55,78.6,84.6,29257550.0,,,,HOLD,空仓,
信达生物,港股,2025-07-04,85.0,87.8,83.35,86.2,21770018.0,,,,HOLD,空仓,
信达生物,港股,2025-07-07,87.8,88.55,81.9,82.55,23823699.0,,,,HOLD,空仓,
信达生物,港股,2025-07-08,83.05,85.2,81.05,82.35,17584187.0,83.0,,,HOLD,空仓,
信达生物,港股,2025-07-09,81.75,83.9,80.25,82.25,17089853.0,83.59,,,HOLD,空仓,
信达生物,港股,2025-07-10,81.7,83.45,79.4,80.25,17467848.0,82.72,,,HOLD,空仓,
信达生物,港股,2025-07-11,80.8,83.45,80.0,80.55,17696166.0,81.59,,,HOLD,空仓,
信达生物,港股,2025-07-14,80.55,82.35,79.5,82.0,17319035.0,81.48,,,HOLD,空仓,
信达生物,港股,2025-07-15,82.5,86.4,81.55,85.9,20341034.0,82.19,,,HOLD,空仓,
信达生物,港股,2025-07-16,86.2,87.05,84.95,86.2,13874379.0,82.98,,,HOLD,空仓,
信达生物,港股,2025-07-17,86.95,90.25,86.55,89.1,25428845.0,84.75,,,HOLD,空仓,
信达生物,港股,2025-07-18,89.85,91.7,87.75,89.05,15552338.0,86.45,,,HOLD,空仓,
信达生物,港股,2025-07-21,90.0,91.15,87.25,88.65,10483351.0,87.78,,,HOLD,空仓,
信达生物,港股,2025-07-22,88.65,92.0,86.55,87.6,17778049.0,88.12,84.4367,,HOLD,空仓,
信达生物,港股,2025-07-23,88.7,91.3,86.8,88.0,20305570.0,88.48,85.0167,,HOLD,空仓,
信达生物,港股,2025-07-24,88.0,88.55,84.7,88.2,20662213.0,88.3,85.2567,,HOLD,空仓,
信达生物,港股,2025-07-25,88.2,91.7,87.9,89.15,19114615.0,88.32,85.4533,,HOLD,空仓,
信达生物,港股,2025-07-28,89.9,94.35,89.1,93.9,17709916.0,89.37,86.21,,HOLD,空仓,
信达生物,港股,2025-07-29,95.0,100.0,93.05,99.95,27139490.0,91.84,87.3833,,HOLD,空仓,
信达生物,港股,2025-07-30,100.3,106.0,95.85,98.45,53711910.0,93.93,88.4633,,HOLD,空仓,
信达生物,港股,2025-07-31,99.0,100.8,96.4,98.0,21002134.0,95.89,89.6467,,HOLD,空仓,
信达生物,港股,2025-08-01,97.0,99.6,91.8,93.0,24052833.0,96.66,90.4767,,HOLD,空仓,
信达生物,港股,2025-08-04,92.45,94.45,90.2,92.9,15855227.0,96.46,91.2033,,HOLD,空仓,
信达生物,港股,2025-08-05,94.9,99.1,94.15,98.75,17692363.0,96.22,92.06,,HOLD,空仓,
信达生物,港股,2025-08-06,98.85,99.4,96.1,98.05,13318611.0,96.14,92.85,,HOLD,空仓,
信达生物,港股,2025-08-07,96.85,98.8,90.55,91.4,32235490.0,94.82,93.0033,,HOLD,空仓,
信达生物,港股,2025-08-08,91.4,93.2,89.6,91.25,18274901.0,94.47,93.15,,HOLD,空仓,
信达生物,港股,2025-08-11,93.0,93.55,85.65,89.95,30762712.0,93.88,93.2367,,HOLD,空仓,
信达生物,港股,2025-08-12,90.55,90.55,85.5,87.3,25300254.0,91.59,93.2167,死叉,HOLD,空仓,
信达生物,港股,2025-08-13,89.05,96.0,88.55,95.0,26739588.0,90.98,93.6833,,HOLD,空仓,
信达生物,港股,2025-08-14,97.15,98.35,95.3,96.0,16527182.0,91.9,94.2033,,HOLD,空仓,
信达生物,港股,2025-08-15,95.8,99.5,95.5,97.5,13549158.0,93.15,94.76,,HOLD,空仓,
信达生物,港股,2025-08-18,99.0,103.5,98.5,101.9,20740825.0,95.54,95.2933,金叉,BUY,持仓,→ 次日(2025-08-19)开盘买入 @ 101.9
信达生物,港股,2025-08-19,101.9,102.9,96.0,97.75,24023054.0,97.63,95.1467,,HOLD,持仓,
信达生物,港股,2025-08-20,97.0,98.85,93.1,94.65,17538128.0,97.56,94.8933,,HOLD,持仓,
信达生物,港股,2025-08-21,96.25,99.65,95.2,99.3,10889562.0,98.22,94.98,,HOLD,持仓,
信达生物,港股,2025-08-22,101.5,102.4,97.7,99.45,11623171.0,98.61,95.41,,HOLD,持仓,
信达生物,港股,2025-08-25,101.3,102.8,96.8,99.95,14911542.0,98.22,95.88,,HOLD,持仓,
信达生物,港股,2025-08-26,99.95,100.3,93.65,95.75,43626515.0,97.82,95.68,,HOLD,持仓,
信达生物,港股,2025-08-27,99.1,99.1,90.05,91.0,30586612.0,97.09,95.21,,HOLD,持仓,
信达生物,港股,2025-08-28,94.9,94.9,88.35,90.65,22635180.0,95.36,95.16,,HOLD,持仓,
信达生物,港股,2025-08-29,91.9,98.45,89.7,96.85,26710648.0,94.84,95.5333,死叉,SELL,空仓,→ 次日(2025-09-01)开盘卖出 @ 98.65 (盈亏: -3.19%)
信达生物,港股,2025-09-01,98.65,106.5,95.15,105.4,27986303.0,95.93,96.5633,,HOLD,空仓,
