name,market,date,close,position,strategy_equity,bh_equity,strategy_daily_ret_pct,bh_daily_ret_pct
君实生物,A股,2025-07-01,35.68,空仓,10000.0,10000.0,0.0,0.0
君实生物,A股,2025-07-02,35.4,空仓,10000.0,9921.52,0.0,-0.7848
君实生物,A股,2025-07-03,37.94,空仓,10000.0,10633.41,0.0,7.1751
君实生物,A股,2025-07-04,40.21,空仓,10000.0,11269.62,0.0,5.9831
君实生物,A股,2025-07-07,37.97,空仓,10000.0,10641.82,0.0,-5.5708
君实生物,A股,2025-07-08,37.87,空仓,10000.0,10613.79,0.0,-0.2634
君实生物,A股,2025-07-09,37.93,空仓,10000.0,10630.61,0.0,0.1584
君实生物,A股,2025-07-10,37.4,空仓,10000.0,10482.06,0.0,-1.3973
君实生物,A股,2025-07-11,37.18,空仓,10000.0,10420.4,0.0,-0.5882
君实生物,A股,2025-07-14,37.99,空仓,10000.0,10647.42,0.0,2.1786
君实生物,A股,2025-07-15,38.51,空仓,10000.0,10793.16,0.0,1.3688
君实生物,A股,2025-07-16,38.77,空仓,10000.0,10866.03,0.0,0.6751
君实生物,A股,2025-07-17,39.66,空仓,10000.0,11115.47,0.0,2.2956
君实生物,A股,2025-07-18,39.16,空仓,10000.0,10975.34,0.0,-1.2607
君实生物,A股,2025-07-21,38.6,空仓,10000.0,10818.39,0.0,-1.43
君实生物,A股,2025-07-22,39.29,空仓,10000.0,11011.77,0.0,1.7876
君实生物,A股,2025-07-23,37.69,空仓,10000.0,10563.34,0.0,-4.0723
君实生物,A股,2025-07-24,38.39,空仓,10000.0,10759.53,0.0,1.8573
君实生物,A股,2025-07-25,38.0,空仓,10000.0,10650.22,0.0,-1.0159
君实生物,A股,2025-07-28,39.69,空仓,10000.0,11123.88,0.0,4.4474
君实生物,A股,2025-07-29,41.0,空仓,10000.0,11491.03,0.0,3.3006
君实生物,A股,2025-07-30,39.12,空仓,10000.0,10964.13,0.0,-4.5854
君实生物,A股,2025-07-31,38.46,空仓,10000.0,10779.15,0.0,-1.6871
君实生物,A股,2025-08-01,38.08,空仓,10000.0,10672.65,0.0,-0.988
君实生物,A股,2025-08-04,37.66,空仓,10000.0,10554.93,0.0,-1.1029
君实生物,A股,2025-08-05,39.46,空仓,10000.0,11059.42,0.0,4.7796
君实生物,A股,2025-08-06,41.28,空仓,10000.0,11569.51,0.0,4.6123
君实生物,A股,2025-08-07,39.85,持仓,9653.59,11168.72,-3.4641,-3.4641
君实生物,A股,2025-08-08,41.51,持仓,10055.72,11633.97,4.1656,4.1656
君实生物,A股,2025-08-11,42.54,持仓,10305.23,11922.65,2.4813,2.4813
君实生物,A股,2025-08-12,41.38,持仓,10024.22,11597.53,-2.7268,-2.7268
君实生物,A股,2025-08-13,43.46,持仓,10528.1,12180.49,5.0266,5.0266
君实生物,A股,2025-08-14,42.72,持仓,10348.84,11973.09,-1.7027,-1.7027
君实生物,A股,2025-08-15,42.0,持仓,10174.42,11771.3,-1.6854,-1.6854
君实生物,A股,2025-08-18,47.06,持仓,11400.19,13189.46,12.0476,12.0476
君实生物,A股,2025-08-19,45.32,持仓,10978.68,12701.79,-3.6974,-3.6974
君实生物,A股,2025-08-20,44.83,持仓,10859.98,12564.46,-1.0812,-1.0812
君实生物,A股,2025-08-21,45.36,持仓,10988.37,12713.0,1.1822,1.1822
君实生物,A股,2025-08-22,45.86,持仓,11109.5,12853.14,1.1023,1.1023
君实生物,A股,2025-08-25,46.62,持仓,11293.6,13066.14,1.6572,1.6572
君实生物,A股,2025-08-26,45.17,持仓,10942.34,12659.75,-3.1103,-3.1103
君实生物,A股,2025-08-27,43.38,持仓,10508.72,12158.07,-3.9628,-3.9628
君实生物,A股,2025-08-28,43.97,持仓,10651.65,12323.43,1.3601,1.3601
君实生物,A股,2025-08-29,44.99,持仓,10898.74,12609.3,2.3198,2.3198
君实生物,A股,2025-09-01,47.11,持仓,11412.31,13203.48,4.7122,4.7122
君实生物,A股,2025-09-02,46.27,持仓,11208.82,12968.05,-1.7831,-1.7831
君实生物,A股,2025-09-03,46.37,持仓,11233.04,12996.08,0.2161,0.2161
君实生物,A股,2025-09-04,44.7,持仓,10828.49,12528.03,-3.6015,-3.6015
君实生物,A股,2025-09-05,48.0,持仓,11627.91,13452.91,7.3826,7.3826
君实生物,A股,2025-09-08,47.53,持仓,11514.05,13321.19,-0.9792,-0.9792
君实生物,A股,2025-09-09,48.26,持仓,11690.89,13525.78,1.5359,1.5359
君实生物,A股,2025-09-10,48.5,持仓,11749.03,13593.05,0.4973,0.4973
君实生物,A股,2025-09-11,47.73,持仓,11562.5,13377.24,-1.5876,-1.5876
君实生物,A股,2025-09-12,48.8,持仓,11821.71,13677.13,2.2418,2.2418
君实生物,A股,2025-09-15,47.43,持仓,11489.83,13293.16,-2.8074,-2.8074
君实生物,A股,2025-09-16,46.82,持仓,11342.05,13122.2,-1.2861,-1.2861
君实生物,A股,2025-09-17,45.64,持仓,11056.2,12791.48,-2.5203,-2.5203
君实生物,A股,2025-09-18,45.73,空仓,11056.2,12816.7,0.0,0.1972
君实生物,A股,2025-09-19,44.0,空仓,11056.2,12331.84,0.0,-3.7831
君实生物,A股,2025-09-22,43.43,空仓,11056.2,12172.09,0.0,-1.2955
君实生物,A股,2025-09-23,41.58,空仓,11056.2,11653.59,0.0,-4.2597
君实生物,A股,2025-09-24,41.67,空仓,11056.2,11678.81,0.0,0.2165
君实生物,A股,2025-09-25,42.78,空仓,11056.2,11989.91,0.0,2.6638
君实生物,A股,2025-09-26,41.0,空仓,11056.2,11491.03,0.0,-4.1608
君实生物,A股,2025-09-29,41.09,空仓,11056.2,11516.26,0.0,0.2195
君实生物,A股,2025-09-30,41.46,空仓,11056.2,11619.96,0.0,0.9005
君实生物,A股,2025-10-09,41.06,空仓,11056.2,11507.85,0.0,-0.9648
君实生物,A股,2025-10-10,39.61,空仓,11056.2,11101.46,0.0,-3.5314
君实生物,A股,2025-10-13,38.91,空仓,11056.2,10905.27,0.0,-1.7672
君实生物,A股,2025-10-14,37.67,空仓,11056.2,10557.74,0.0,-3.1868
君实生物,A股,2025-10-15,38.43,空仓,11056.2,10770.74,0.0,2.0175
君实生物,A股,2025-10-16,38.88,空仓,11056.2,10896.86,0.0,1.171
君实生物,A股,2025-10-17,38.8,空仓,11056.2,10874.44,0.0,-0.2058
君实生物,A股,2025-10-20,38.67,空仓,11056.2,10838.0,0.0,-0.3351
君实生物,A股,2025-10-21,38.99,空仓,11056.2,10927.69,0.0,0.8275
君实生物,A股,2025-10-22,38.54,空仓,11056.2,10801.57,0.0,-1.1541
君实生物,A股,2025-10-23,37.51,空仓,11056.2,10512.89,0.0,-2.6725
君实生物,A股,2025-10-24,37.78,空仓,11056.2,10588.57,0.0,0.7198
君实生物,A股,2025-10-27,38.73,空仓,11056.2,10854.82,0.0,2.5146
君实生物,A股,2025-10-28,38.63,空仓,11056.2,10826.79,0.0,-0.2582
君实生物,A股,2025-10-29,38.96,空仓,11056.2,10919.28,0.0,0.8543
君实生物,A股,2025-10-30,38.17,空仓,11056.2,10697.87,0.0,-2.0277
君实生物,A股,2025-10-31,40.37,持仓,11693.45,11314.46,5.7637,5.7637
君实生物,A股,2025-11-03,40.25,持仓,11658.69,11280.83,-0.2973,-0.2973
君实生物,A股,2025-11-04,39.06,持仓,11314.0,10947.31,-2.9565,-2.9565
君实生物,A股,2025-11-05,38.82,持仓,11244.48,10880.04,-0.6144,-0.6144
君实生物,A股,2025-11-06,38.53,持仓,11160.48,10798.77,-0.747,-0.747
君实生物,A股,2025-11-07,37.79,持仓,10946.13,10591.37,-1.9206,-1.9206
君实生物,A股,2025-11-10,38.39,空仓,10946.13,10759.53,0.0,1.5877
君实生物,A股,2025-11-11,38.1,空仓,10946.13,10678.25,0.0,-0.7554
君实生物,A股,2025-11-12,38.29,空仓,10946.13,10731.5,0.0,0.4987
君实生物,A股,2025-11-13,39.2,空仓,10946.13,10986.55,0.0,2.3766
君实生物,A股,2025-11-14,39.01,空仓,10946.13,10933.3,0.0,-0.4847
君实生物,A股,2025-11-17,38.07,空仓,10946.13,10669.84,0.0,-2.4096
君实生物,A股,2025-11-18,37.4,空仓,10946.13,10482.06,0.0,-1.7599
君实生物,A股,2025-11-19,37.01,空仓,10946.13,10372.76,0.0,-1.0428
君实生物,A股,2025-11-20,36.82,空仓,10946.13,10319.51,0.0,-0.5134
君实生物,A股,2025-11-21,35.75,空仓,10946.13,10019.62,0.0,-2.906
