name,market,date,open,high,low,close,volume,amount,currency
君实生物,A股,2025-07-01,34.0,35.92,33.98,35.68,14362621.0,502040000.0,CNY
君实生物,A股,2025-07-02,35.49,36.75,35.18,35.4,12861497.0,461560000.0,CNY
君实生物,A股,2025-07-03,35.33,38.5,35.25,37.94,22104663.0,820180000.0,CNY
君实生物,A股,2025-07-04,37.81,41.17,37.81,40.21,25751505.0,1010400000.0,CNY
君实生物,A股,2025-07-07,40.0,40.52,37.82,37.97,17526712.0,679990000.0,CNY
君实生物,A股,2025-07-08,38.03,39.12,37.59,37.87,12388092.0,472980000.0,CNY
君实生物,A股,2025-07-09,37.87,38.55,37.21,37.93,10885352.0,413110000.0,CNY
君实生物,A股,2025-07-10,38.0,38.29,37.15,37.4,9673967.0,363320000.0,CNY
君实生物,A股,2025-07-11,37.18,37.97,36.97,37.18,11778383.0,440070000.0,CNY
君实生物,A股,2025-07-14,37.0,38.3,36.88,37.99,13537267.0,508300000.0,CNY
君实生物,A股,2025-07-15,37.84,39.14,37.31,38.51,15139408.0,579220000.0,CNY
君实生物,A股,2025-07-16,38.53,38.99,38.01,38.77,11037192.0,425640000.0,CNY
君实生物,A股,2025-07-17,38.7,39.68,38.62,39.66,14061669.0,551890000.0,CNY
君实生物,A股,2025-07-18,39.66,39.72,38.49,39.16,12849820.0,501550000.0,CNY
君实生物,A股,2025-07-21,39.0,39.0,37.93,38.6,10390265.0,400150000.0,CNY
君实生物,A股,2025-07-22,38.59,41.49,38.39,39.29,18176073.0,727080000.0,CNY
君实生物,A股,2025-07-23,38.98,39.45,37.5,37.69,18574039.0,711070000.0,CNY
君实生物,A股,2025-07-24,37.99,38.97,37.83,38.39,13852207.0,532280000.0,CNY
君实生物,A股,2025-07-25,38.54,39.18,37.91,38.0,12150424.0,465800000.0,CNY
君实生物,A股,2025-07-28,38.4,40.0,38.19,39.69,16844098.0,662350000.0,CNY
君实生物,A股,2025-07-29,40.13,41.41,39.18,41.0,20586249.0,834380000.0,CNY
君实生物,A股,2025-07-30,40.6,41.55,39.0,39.12,18718891.0,752890000.0,CNY
君实生物,A股,2025-07-31,39.0,40.5,38.3,38.46,19910563.0,781930000.0,CNY
君实生物,A股,2025-08-01,38.4,39.85,37.74,38.08,15254954.0,589250000.0,CNY
君实生物,A股,2025-08-04,38.0,38.0,36.41,37.66,15839513.0,587190000.0,CNY
君实生物,A股,2025-08-05,37.82,39.46,37.57,39.46,19595045.0,754760000.0,CNY
君实生物,A股,2025-08-06,41.2,44.95,41.1,41.28,39004396.0,1663290000.0,CNY
君实生物,A股,2025-08-07,41.0,41.8,38.98,39.85,25624953.0,1028120000.0,CNY
君实生物,A股,2025-08-08,39.6,43.0,38.86,41.51,27480741.0,1136950000.0,CNY
君实生物,A股,2025-08-11,41.6,43.5,40.81,42.54,23086762.0,966880000.0,CNY
君实生物,A股,2025-08-12,42.12,43.08,40.6,41.38,19196546.0,797650000.0,CNY
君实生物,A股,2025-08-13,41.3,44.0,41.03,43.46,23937996.0,1024880000.0,CNY
君实生物,A股,2025-08-14,43.35,44.4,42.66,42.72,21976936.0,952640000.0,CNY
君实生物,A股,2025-08-15,41.03,42.35,40.98,42.0,20979078.0,873910000.0,CNY
君实生物,A股,2025-08-18,42.0,47.94,42.0,47.06,32547896.0,1452030000.0,CNY
君实生物,A股,2025-08-19,47.0,47.6,45.31,45.32,21041745.0,976650000.0,CNY
君实生物,A股,2025-08-20,45.5,46.1,44.11,44.83,16727871.0,752350000.0,CNY
君实生物,A股,2025-08-21,45.11,46.82,44.61,45.36,17781957.0,810790000.0,CNY
君实生物,A股,2025-08-22,45.35,46.18,44.92,45.86,14984432.0,682600000.0,CNY
君实生物,A股,2025-08-25,45.87,48.59,45.61,46.62,20615116.0,966180000.0,CNY
君实生物,A股,2025-08-26,46.15,47.21,44.68,45.17,17192780.0,788540000.0,CNY
君实生物,A股,2025-08-27,46.33,46.9,43.36,43.38,23222605.0,1039370000.0,CNY
君实生物,A股,2025-08-28,43.5,44.0,42.0,43.97,19270304.0,831100000.0,CNY
君实生物,A股,2025-08-29,43.67,45.7,43.33,44.99,20721955.0,924060000.0,CNY
君实生物,A股,2025-09-01,45.0,47.8,44.9,47.11,23154361.0,1080890000.0,CNY
君实生物,A股,2025-09-02,47.1,48.0,45.3,46.27,21566032.0,1006420000.0,CNY
君实生物,A股,2025-09-03,47.0,47.87,46.06,46.37,17341757.0,813970000.0,CNY
君实生物,A股,2025-09-04,47.2,47.7,43.9,44.7,21493933.0,982190000.0,CNY
君实生物,A股,2025-09-05,44.5,48.1,43.58,48.0,25289310.0,1173290000.0,CNY
