name,market,date,open,high,low,close,volume,amount,currency,MA5,MA15,ma_signal
君实生物,港股,2025-07-02,21.6,22.55,21.1,21.5,10907170.0,237156052.4,HKD,,,
君实生物,港股,2025-07-03,21.8,24.1,21.35,24.0,16970400.0,394111260.0,HKD,,,
君实生物,港股,2025-07-04,24.2,26.5,24.2,24.75,23951246.0,603020856.0,HKD,,,
君实生物,港股,2025-07-07,25.15,26.15,23.55,23.9,12117000.0,297100101.0,HKD,,,
君实生物,港股,2025-07-08,24.2,25.35,23.65,24.35,9094600.0,222175425.0,HKD,23.7,,
君实生物,港股,2025-07-09,24.3,26.0,23.4,24.8,10386000.0,259858092.4,HKD,24.36,,
君实生物,港股,2025-07-10,25.45,25.45,23.5,23.55,7880800.0,189660562.2,HKD,24.27,,
君实生物,港股,2025-07-11,24.0,24.15,22.75,23.3,9986800.0,232769380.6,HKD,23.98,,
君实生物,港股,2025-07-14,23.3,23.85,22.45,23.4,8594000.0,199430597.8,HKD,23.88,,
君实生物,港股,2025-07-15,23.55,24.7,22.85,24.1,9967800.0,238394717.8,HKD,23.83,,
君实生物,港股,2025-07-16,24.35,25.2,23.85,24.7,8487800.0,208337219.2,HKD,23.81,,
君实生物,港股,2025-07-17,24.8,25.8,24.8,25.1,11479200.0,291033900.0,HKD,24.12,,
君实生物,港股,2025-07-18,25.75,25.95,24.7,25.2,7415600.0,186669805.0,HKD,24.5,,
君实生物,港股,2025-07-21,25.5,25.5,23.9,25.1,7312200.0,180223175.0,HKD,24.84,,
君实生物,港股,2025-07-22,25.3,27.5,24.8,24.95,12884000.0,335900225.0,HKD,25.01,24.18,
君实生物,港股,2025-07-23,25.4,25.55,24.0,24.25,9623630.0,236785449.5,HKD,24.92,24.3633,
君实生物,港股,2025-07-24,24.4,25.65,24.25,25.3,9252000.0,231817498.8,HKD,24.96,24.45,
君实生物,港股,2025-07-25,25.6,26.5,24.55,24.9,8731200.0,221473038.8,HKD,24.9,24.46,
君实生物,港股,2025-07-28,25.4,27.7,24.9,27.3,16334800.0,432322877.6,HKD,25.34,24.6867,
君实生物,港股,2025-07-29,27.4,28.75,26.6,28.7,14691600.0,409499913.0,HKD,26.09,24.9767,
君实生物,港股,2025-07-30,28.5,29.0,25.9,26.6,17084000.0,466376794.4,HKD,26.56,25.0967,
君实生物,港股,2025-07-31,26.4,26.95,25.15,25.5,12274800.0,318991220.0,HKD,26.6,25.2267,
君实生物,港股,2025-08-01,25.9,26.45,24.35,24.55,7150400.0,180777460.2,HKD,26.53,25.31,
君实生物,港股,2025-08-04,24.22,24.5,23.5,24.06,10929298.0,261014537.44,HKD,25.882,25.354,
君实生物,港股,2025-08-05,24.38,32.58,24.22,32.18,43950060.0,1279117784.4,HKD,26.578,25.8927,
君实生物,港股,2025-08-06,29.52,31.8,28.32,28.76,38666166.0,1144909317.24,HKD,27.01,26.1633,
君实生物,港股,2025-08-07,29.06,29.5,27.04,27.28,15204180.0,421482284.0,HKD,27.366,26.3087,
君实生物,港股,2025-08-08,27.78,30.84,26.7,29.16,30444698.0,884722655.4,HKD,28.288,26.5727,
君实生物,港股,2025-08-11,29.4,31.44,28.24,30.26,20576780.0,617265220.0,HKD,29.528,26.9167,
君实生物,港股,2025-08-12,30.2,31.98,28.58,29.5,14896800.0,447770573.4,HKD,28.992,27.22,
君实生物,港股,2025-08-13,29.98,31.72,29.58,30.74,16428600.0,504682260.4,HKD,29.388,27.6527,
君实生物,港股,2025-08-14,31.0,33.06,30.8,32.44,18859200.0,601825348.0,HKD,30.42,28.1287,
君实生物,港股,2025-08-15,31.48,32.6,30.86,32.0,14422730.0,457879744.0,HKD,30.988,28.602,
君实生物,港股,2025-08-18,32.46,37.86,32.46,36.24,27006000.0,951871200.0,HKD,32.184,29.198,
君实生物,港股,2025-08-19,36.5,37.64,34.12,34.92,19461600.0,693869961.2,HKD,33.268,29.6127,
君实生物,港股,2025-08-20,35.48,35.68,32.72,33.5,10460900.0,353961359.2,HKD,33.82,30.0727,
君实生物,港股,2025-08-21,33.9,35.26,33.2,34.32,8816400.0,302531188.0,HKD,34.196,30.6607,
君实生物,港股,2025-08-22,34.58,35.14,34.0,34.22,7136300.0,246503108.0,HKD,34.64,31.3053,
君实生物,港股,2025-08-25,34.68,35.88,34.04,34.84,10214200.0,357083440.8,HKD,34.36,32.024,
君实生物,港股,2025-08-26,34.58,35.5,32.0,32.6,11051200.0,367324375.8,HKD,33.896,32.052,
君实生物,港股,2025-08-27,34.5,34.5,30.3,30.54,13328495.0,419984516.18,HKD,33.304,32.1707,
君实生物,港股,2025-08-28,31.04,31.34,28.72,29.8,14125147.0,420727320.5,HKD,32.4,32.3387,
君实生物,港股,2025-08-29,29.92,31.8,29.72,30.98,9893974.0,307069421.2,HKD,31.752,32.46,死叉
君实生物,港股,2025-09-01,31.42,33.34,31.4,32.98,10834800.0,352334632.0,HKD,31.38,32.6413,
君实生物,港股,2025-09-02,32.98,33.46,31.32,32.3,9028700.0,292091160.0,HKD,31.32,32.828,
君实生物,港股,2025-09-03,33.0,33.8,32.32,32.54,7207800.0,237270708.0,HKD,31.72,32.948,
君实生物,港股,2025-09-04,33.6,33.6,30.72,30.82,7602400.0,241012359.6,HKD,31.924,32.84,
君实生物,港股,2025-09-05,31.36,35.1,30.68,34.5,19245000.0,641414710.0,HKD,32.628,33.0067,
君实生物,港股,2025-09-08,34.98,35.84,34.08,35.4,10749400.0,375476300.0,HKD,33.112,32.9507,金叉
君实生物,港股,2025-09-09,35.18,38.64,34.08,36.84,17509600.0,652331762.0,HKD,34.02,33.0787,
君实生物,港股,2025-09-10,37.44,37.96,34.4,34.92,13426200.0,478319916.0,HKD,34.496,33.1733,
君实生物,港股,2025-09-11,32.38,34.5,31.0,33.58,19391200.0,638714466.2,HKD,35.048,33.124,
君实生物,港股,2025-09-12,34.82,34.82,32.82,33.74,11440600.0,386995770.0,HKD,34.896,33.092,
君实生物,港股,2025-09-15,34.0,34.16,32.68,32.9,7489600.0,249240728.6,HKD,34.396,32.9627,
君实生物,港股,2025-09-16,33.5,33.78,32.14,33.22,6743600.0,221345141.2,HKD,33.672,33.004,
君实生物,港股,2025-09-17,33.36,33.58,31.88,32.22,8764800.0,282483684.0,HKD,33.132,33.116,
君实生物,港股,2025-09-18,32.6,33.88,31.82,32.76,11563448.0,379846793.6,HKD,32.968,33.3133,死叉
君实生物,港股,2025-09-19,33.06,33.38,31.2,32.1,8191952.0,260937970.4,HKD,32.64,33.388,
君实生物,港股,2025-09-22,32.14,32.28,30.34,30.6,11626000.0,358913199.0,HKD,32.18,33.2293,
君实生物,港股,2025-09-23,31.0,31.06,29.16,30.1,10984044.0,326833540.8,HKD,31.556,33.0827,
君实生物,港股,2025-09-24,30.1,30.6,29.2,29.66,6987604.0,208698410.08,HKD,31.044,32.8907,
君实生物,港股,2025-09-25,30.26,32.02,29.92,30.92,9740504.0,304062967.0,HKD,30.676,32.8973,
君实生物,港股,2025-09-26,30.76,31.18,29.82,29.82,5121600.0,155285348.4,HKD,30.22,32.5853,
君实生物,港股,2025-09-29,29.9,30.22,28.7,29.62,8402600.0,246132702.4,HKD,30.024,32.2,
君实生物,港股,2025-09-30,29.92,30.74,29.86,30.46,4515400.0,137413216.0,HKD,30.096,31.7747,
君实生物,港股,2025-10-02,30.98,32.62,30.86,32.62,1944040.0,62128503.2,HKD,30.688,31.6213,
君实生物,港股,2025-10-03,32.62,32.62,31.4,31.76,420200.0,13296312.0,HKD,30.856,31.5,
君实生物,港股,2025-10-06,31.24,31.5,30.56,31.08,526457.0,16285209.94,HKD,31.108,31.3227,
君实生物,港股,2025-10-08,30.66,31.7,30.28,31.6,986513.0,30689346.04,HKD,31.504,31.236,金叉
君实生物,港股,2025-10-09,31.8,31.8,29.7,29.7,5393600.0,163025784.0,HKD,31.352,31.0013,
君实生物,港股,2025-10-10,29.8,30.44,28.28,29.58,5150702.0,151588211.16,HKD,30.744,30.8253,死叉
君实生物,港股,2025-10-13,26.84,28.4,26.4,27.02,12529497.0,341219949.28,HKD,29.796,30.4427,
君实生物,港股,2025-10-14,27.64,27.64,25.1,26.3,8307464.0,216700824.0,HKD,28.84,30.056,
君实生物,港股,2025-10-15,26.3,26.44,25.1,26.16,7243600.0,187820234.6,HKD,27.752,29.76,
君实生物,港股,2025-10-16,26.28,27.7,26.02,26.72,6062200.0,163440004.0,HKD,27.156,29.5347,
君实生物,港股,2025-10-17,28.04,28.56,26.0,26.26,7789576.0,211902223.24,HKD,26.492,29.308,
君实生物,港股,2025-10-20,26.82,27.2,26.26,26.66,3718400.0,99543196.2,HKD,26.42,29.024,
君实生物,港股,2025-10-21,27.0,27.46,26.52,26.78,3609000.0,97407795.8,HKD,26.516,28.8213,
君实生物,港股,2025-10-22,26.86,27.78,25.98,26.36,4801514.0,128340496.92,HKD,26.556,28.604,
君实生物,港股,2025-10-23,26.5,26.5,24.78,25.32,7056606.0,177946673.76,HKD,26.276,28.2613,
君实生物,港股,2025-10-24,25.6,25.66,25.0,25.06,3469200.0,87522288.0,HKD,26.036,27.7573,
君实生物,港股,2025-10-27,25.66,26.64,25.66,25.96,4710840.0,123218680.4,HKD,25.896,27.3707,
君实生物,港股,2025-10-28,26.64,26.64,25.04,25.16,3046472.0,77407388.12,HKD,25.572,26.976,
君实生物,港股,2025-10-30,25.42,25.42,23.9,25.06,5824486.0,143257153.72,HKD,25.312,26.54,
君实生物,港股,2025-10-31,25.12,26.7,25.04,26.58,7915800.0,207378976.0,HKD,25.564,26.332,
君实生物,港股,2025-11-03,26.7,27.68,26.26,26.7,5693534.0,153787800.88,HKD,25.892,26.14,
君实生物,港股,2025-11-04,26.58,26.9,25.9,26.12,2409800.0,63329740.0,HKD,25.924,26.08,
君实生物,港股,2025-11-05,26.1,26.28,25.44,25.8,2487640.0,64165220.0,HKD,26.052,26.0467,金叉
君实生物,港股,2025-11-06,26.0,26.1,25.34,25.98,1804200.0,46276218.0,HKD,26.236,26.0347,
君实生物,港股,2025-11-07,25.7,25.92,24.46,24.52,5889200.0,146537498.0,HKD,25.824,25.888,死叉
君实生物,港股,2025-11-10,25.32,25.76,24.5,25.4,2965600.0,74858661.6,HKD,25.564,25.8307,
君实生物,港股,2025-11-11,25.9,25.9,24.82,25.06,1532200.0,38473352.0,HKD,25.352,25.724,
君实生物,港股,2025-11-12,25.08,25.84,25.08,25.5,2388803.0,60924199.98,HKD,25.292,25.6387,
君实生物,港股,2025-11-13,25.86,26.48,25.68,26.3,3674600.0,96065796.0,HKD,25.356,25.6347,
君实生物,港股,2025-11-14,26.08,26.78,25.6,25.84,3096600.0,80842298.0,HKD,25.62,25.6693,
君实生物,港股,2025-11-17,25.98,25.98,24.5,24.74,3713524.0,92227806.8,HKD,25.488,25.648,
君实生物,港股,2025-11-18,24.9,25.26,24.16,24.42,2510508.0,61616662.8,HKD,25.36,25.5453,
君实生物,港股,2025-11-19,24.42,24.7,23.04,24.26,2892200.0,69428024.0,HKD,25.112,25.4853,
君实生物,港股,2025-11-20,24.44,24.66,23.98,24.56,1722600.0,41782958.0,HKD,24.764,25.452,
君实生物,港股,2025-11-21,23.82,24.48,23.3,23.46,2583200.0,61073778.0,HKD,24.288,25.244,
君实生物,港股,2025-11-24,23.5,24.04,23.36,23.8,2243349.0,53235009.94,HKD,24.1,25.0507,
君实生物,港股,2025-11-25,24.1,25.2,24.1,24.4,3155050.0,77920714.2,HKD,24.096,24.936,
君实生物,港股,2025-11-26,24.52,25.66,24.14,25.18,3287000.0,83086283.8,HKD,24.28,24.8947,
君实生物,港股,2025-11-27,25.22,25.8,25.12,25.44,2013200.0,51473497.8,HKD,24.456,24.8587,
君实生物,港股,2025-11-28,25.44,25.7,24.96,25.32,1725200.0,43470620.0,HKD,24.828,24.912,
君实生物,港股,2025-12-01,25.3,25.36,24.36,24.78,1988400.0,49006152.0,HKD,25.024,24.8707,金叉
君实生物,港股,2025-12-02,24.76,24.76,23.94,24.02,1959200.0,47251936.0,HKD,24.948,24.8013,
君实生物,港股,2025-12-03,24.2,24.2,23.5,23.7,1485800.0,35321048.0,HKD,24.652,24.6813,死叉
君实生物,港股,2025-12-04,24.18,24.18,23.72,23.96,1526000.0,36593185.2,HKD,24.356,24.5253,
君实生物,港股,2025-12-05,24.16,24.24,23.34,23.56,2959200.0,69866643.2,HKD,24.004,24.3733,
君实生物,港股,2025-12-08,24.02,24.5,23.54,23.76,2303800.0,54936734.4,HKD,23.8,24.308,
君实生物,港股,2025-12-09,23.98,24.36,23.34,23.54,3227200.0,76730912.0,HKD,23.704,24.2493,
君实生物,港股,2025-12-10,23.76,23.76,23.06,23.5,1531800.0,35787673.2,HKD,23.664,24.1987,
君实生物,港股,2025-12-11,23.66,24.38,23.18,23.5,2632200.0,62532221.6,HKD,23.572,24.128,
