| date | open | last | high | low | volume | amount | exchange |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2026-07-03 | 7658.81 | 7748.91 | 7765.72 | 7548.24 | 15217563 | 60331118670 | 1.62 |
| 2026-07-02 | 7582.24 | 7593.78 | 7738.81 | 7533.27 | 16465929 | 67441571989 | 1.76 |
| 2026-07-01 | 7313.63 | 7612.73 | 7615.32 | 7161.09 | 181330 | 72445430000 | 1.93 |
| 2026-06-30 | 7429.64 | 7350.44 | 7441.46 | 7300.42 | 139654 | 55314790000 | 1.49 |
| 2026-06-29 | 7010.41 | 7464.35 | 7474.26 | 6925.72 | 194580 | 71929980000 | 2.08 |
| 2026-06-26 | 7220.29 | 7015.47 | 7254.66 | 7015.47 | 118270 | 42158850000 | 1.26 |
| 2026-06-25 | 7119.51 | 7218.07 | 7256.43 | 7020.48 | 135249 | 50090070000 | 1.45 |
| 2026-06-24 | 7123.72 | 7184.61 | 7327.3 | 7120.61 | 143904 | 53823090000 | 1.54 |
| 2026-06-23 | 7061.1 | 7103.55 | 7250.32 | 7059.07 | 142551 | 45456240000 | 1.52 |
| 2026-06-22 | 6975.66 | 7081.72 | 7084.39 | 6829.76 | 143323 | 45254840000 | 1.53 |
| 2026-06-18 | 6925.92 | 7012.16 | 7110.98 | 6892.46 | 136838 | 43197690000 | 1.46 |
| 2026-06-17 | 6976.77 | 6942.34 | 6986.05 | 6918.92 | 91426 | 27140440000 | 0.98 |
| 2026-06-16 | 7083.82 | 6980.78 | 7083.82 | 6967.97 | 99016 | 30145980000 | 1.06 |
| 2026-06-15 | 7125.09 | 7107.38 | 7159.54 | 7064.84 | 108912 | 32449910000 | 1.17 |
| 2026-06-12 | 7014.25 | 7139.39 | 7148.25 | 6945 | 156396 | 45944390000 | 1.57 |
| 2026-06-11 | 6969.87 | 6996.27 | 7022.02 | 6933.9 | 103191 | 29798850000 | 1.04 |
| 2026-06-10 | 6910.81 | 7013.76 | 7015.03 | 6904.42 | 103437 | 31783060000 | 1.04 |
